ID,City Name,State,2010 Population
1,Phoenix,Arizona,"4,192,887"
2,Atlanta,Georgia,"5,286,728"
3,Baltimore,Maryland,"2,710,489"
4,Boston,Massachusettes,"4,552,402"
5,Buffalo,New York,"1,135,509"
6,Charlotte,North Carolina,"2,243,960"
7,Chicago,Illinois,"9,461,105"
8,Columbus,Ohio,"1,901,974"
9,Cincinnati,Ohio,"2,137,667"
10,Cleveland,Ohio,"2,077,240"
11,Denver,Colorado,"2,543,482"
12,Detroit,Michigan,"4,296,250"
13,Green Bay,Wisconsin,"306,241"
14,Houston,Texas,"5,920,416"
15,Indianapolis,Indiana,"1,887,877"
16,Jacksonville,Florida,"1,345,596"
17,Kansas City,Kansas,"2,009,342"
18,Las Vegas,Nevada,"1,951,269"
19,Los Angeles,California,"12,828,837"
20,Memphis,Tennessee,"1,316,100"
21,Miami,Florida,"5,564,635"
22,Milwaulkie,Wisconsin,"1,555,908"
23,Minneapolis,Minnesota,"3,333,633"
24,Nashville,Tennessee,"1,646,200"
25,New York City,New York,"18,897,109"
26,Oakland,California,
27,Oklahoma City,Oklahoma,"1,252,987"
28,Orlando,Florida,"2,134,411"
29,Philadelphia,Pennsylvania,"5,965,343"
30,Pittsburgh,Pennsylvania,"2,356,285"
31,Portland,Oregon,"2,226,009"
32,Raleigh,North Carolina,"1,130,490"
33,Sacramento,California,"2,149,127"
34,Salt Lake City,Utah,"1,087,873"
35,San Antonio,Texas,"2,142,508"
36,San Diego,California,"3,095,313"
37,San Francisco,California,
38,Seattle,Washington,"3,439,809"
39,St. Louis,Missouri,"2,787,701"
40,Tampa Bay,Florida,"2,783,243"
41,Dallas,Texas,"6,366,542"
42,Toronto,Ontario,
43,Washington,DC,"5,649,540"
